title,shortDescription,description,tags,distributionMode,maxDownloads,isFree,basePrice,royaltyPercent,image
Logo Dune Bike Team,Identite visuelle officielle de l'equipe,"Logo complet de l'equipe Dune Bike Team, ideal pour supports de communication, maillots ou goodies. Fichier PNG haute qualite, cede en exclusivite.","logo,moto,bike,team,sport",unique,,false,35,15,duneBiketeamLogo.png
Chute de velo epique,Un moment de velo qui tourne mal (et c'est hilarant),Capture JPG d'une chute de velo totalement improbable. Parfait pour les amateurs de fails et de contenu fun a partager.,"bike,fail,sport,fun,extreme",unlimited,,true,,0,ethanfallingdownbikeinsane.jpg
Wallpaper Kali Linux ASCII Art,Fond d'ecran ASCII pour hackers et geeks,Wallpaper au format WEBP melant l'esthetique Kali Linux et l'art ASCII. Ideal pour habiller ton bureau de dev ou de pentester.,"wallpaper,kalilinux,ascii,hacking,tech",limited,50,false,8,0,kalilinuxwallpaperasciiart.webp
Portrait Lendie x Ethan,Illustration personnalisee,"Portrait PNG original mettant en scene Lendie et Ethan, dans un style illustratif unique. Piece unique, non reproduite.","art,portrait,illustration,perso",unique,,false,40,20,lendieEthan.png
Logo Generique,Logo simple et polyvalent,"Logo PNG epure, pense pour etre reutilise facilement sur differents projets ou supports.","logo,design,branding,minimal",unlimited,,true,,0,Logo.png
Pikachu Rose Dingue - Edition Haute Resolution,Fan art Pikachu version rose et completement dejantee (HD),"Illustration JPG haute resolution d'un Pikachu tout rose et un brin fou-fou, loin du design officiel. Parfaite pour l'impression ou les fonds d'ecran qui sortent de l'ordinaire. Tirage limite.","pikachu,pokemon,fanart,hd,rose,fun,delire",limited,100,false,20,7.5,pikachuHigh.jpg
Pikachu - Fan Art,Version standard du fan art Pikachu,"Illustration JPEG de Pikachu en qualite standard, ideale pour un usage web rapide.","pikachu,pokemon,fanart",unlimited,,false,6,0,pikachu.jpeg
Scooby-Doo - Edition Haute Resolution,Fan art Scooby-Doo en HD,"Illustration JPG haute resolution de Scooby-Doo, format premium pour affiches ou impressions. Exemplaire unique.","scoobydoo,cartoon,fanart,hd",unique,,false,30,10,scoobyhigh.jpg
Scooby-Doo - Fan Art,Version standard du fan art Scooby-Doo,"Illustration JPEG de Scooby-Doo, qualite standard, legere et rapide a telecharger.","scoobydoo,cartoon,fanart",unlimited,,true,,0,scooby.jpeg
Shrek - Edition Haute Resolution,Fan art Shrek en HD,"Illustration JPG haute resolution de Shrek, parfaite pour les grands formats. Disponible en nombre limite.","shrek,cartoon,fanart,hd",limited,25,false,22,12,shrekHigh.jpg
Shrek - Fan Art,Version standard du fan art Shrek,Illustration JPEG de Shrek en qualite standard.,"shrek,cartoon,fanart",unlimited,,false,4,0,shrek.jpeg
Ecureuil sur un Cobra,L'image improbable que tu ne demandais pas,Illustration JPEG insolite d'un ecureuil chevauchant un cobra. Parfait pour les collections d'images absurdes et les memes. Offre limitee.,"meme,animaux,fun,insolite",limited,10,true,,0,sqirlOncobra.jpeg
Wallpaper Lettres Violettes,Fond d'ecran typographique,"Wallpaper JPEG aux lettres violettes sur fond sombre, esthetique moderne et minimaliste. Piece unique premium.","wallpaper,design,violet,typographie",unique,,false,50,25,wallpaperPurpleLetters.jpeg
